document_id,title,topic,crop,agro_zone,text,origin,source_url,license
doc_dis_001,Maize nitrogen deficiency symptoms,crop_diseases,maize,sub_humid,Nitrogen deficiency in maize shows as uniform yellowing starting from older lower leaves while the midrib often stays greener. Stunted plants and pale leaves reduce yield if not corrected. Split nitrogen application at planting and knee-high stage improves uptake in leaching-prone soils.,synthetic,,CC0-1.0
doc_dis_002,Common bean rust management,crop_diseases,beans,highland,"Bean rust appears as small reddish-brown pustules on leaf undersides in cool humid weather. Remove heavily infected debris, avoid overhead irrigation at dusk, and use certified clean seed. Fungicide sprays may be justified when rust exceeds five percent leaf area in commercial plots.",synthetic,,CC0-1.0
doc_dis_003,Cassava mosaic disease,crop_diseases,cassava,sub_humid,"Cassava mosaic causes leaf distortion, chlorotic mosaic patterns, and stunted stems spread by whiteflies. Plant virus-free cuttings from certified nurseries and rogue out infected plants early. Intercrop with non-hosts and avoid consecutive cassava on the same field without resistant varieties.",synthetic,,CC0-1.0
doc_pes_001,Fall armyworm in maize,pests,maize,semi_arid,Fall armyworm larvae feed in the whorl leaving ragged window-pane damage and frass pellets. Scout twice weekly at early vegetative stage and treat when more than ten percent of plants are infested. Rotate insecticide modes of action and conserve natural enemies along field margins.,synthetic,,CC0-1.0
doc_pes_002,Stem borer in sorghum,pests,sorghum,semi_arid,"Stem borers tunnel inside sorghum stalks causing deadheart in seedlings and broken stems at maturity. Destroy crop residues after harvest, plant early with the rains, and consider push-pull trap crops. Parasitoid wasps increase when flowering strips border the field.",synthetic,,CC0-1.0
doc_pes_003,Aphids on vegetable seedlings,pests,general,highland,"Aphids cluster on tender shoots causing leaf curl and honeydew that leads to sooty mould. Monitor nursery beds daily, use reflective mulch, and wash colonies off with soapy water at low pressure. Avoid broad-spectrum sprays that kill ladybird beetles and lacewings.",synthetic,,CC0-1.0
doc_soi_001,Soil acidity and liming,soil_health,general,highland,"Acidic ferralsols bind phosphorus and limit legume nodulation below pH 5.5. Apply agricultural lime based on soil test, incorporating before planting season. Combine liming with organic matter to improve buffer capacity and moisture retention.",synthetic,,CC0-1.0
doc_soi_002,Cover crops for soil structure,soil_health,general,sub_humid,Cover crops like mucuna or lablab reduce erosion and suppress weeds between main seasons. Terminate covers before they set hard seed and leave residues as surface mulch. Leguminous covers add nitrogen when biomass is incorporated or left as mulch.,synthetic,,CC0-1.0
doc_soi_003,Compost quality for smallholders,soil_health,general,semi_arid,"Well-made compost should be dark, crumbly, and free of undecomposed stalks or foul odour. Layer green and brown materials, keep piles moist, and turn every two weeks. Apply compost in planting basins to improve water infiltration on crusted soils.",synthetic,,CC0-1.0
doc_cli_001,Climate-smart planting dates,climate_adaptation,maize,semi_arid,Align planting with the onset of reliable rains using local rainfall calendars or forecasts. Short-season drought-tolerant maize varieties reduce risk when the rainy season shortens. Stagger planting across plots to spread exposure to mid-season dry spells.,synthetic,,CC0-1.0
doc_cli_002,Heat stress in livestock,climate_adaptation,livestock,semi_arid,"Heat stress lowers milk yield and fertility; provide shade, night grazing, and clean water ad libitum. Select breeds adapted to local temperature extremes and avoid working animals in peak afternoon heat. Sprinkle water in holding pens only where ventilation prevents humidity buildup.",synthetic,,CC0-1.0
doc_cli_003,Index-based insurance basics,climate_adaptation,general,semi_arid,Weather-index insurance pays when rainfall or vegetation indices cross predefined thresholds. Understand basis risk: payouts may not match individual field losses. Combine insurance with water harvesting and diversified crops to reduce livelihood shocks.,synthetic,,CC0-1.0
